Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MONETARY AGREGATES
,,,,,Monetary Statistics Department - Central Bank of the Argentine Republic
,,,,,
,,,,,
,,,,,
Year,Month,Monetary expression (m),,,Monetary base (M0)
,,Description,Quantity of,Equivalence,Total
,,,previous,of the original,
,,,monetary unit,monetary unit,
,,,in the new,with the,
,,,monetary,actual mone-,
,,,unit,tary unit,
Año,Mes,divisa,unidad medida,equivalencia,MO
1968.03,Mar.,m$n,1000000000,1.0000000000000002e-13,761.4000000000001
1968.04,Abr.,m$n,1000000000,1.0000000000000002e-13,767.4000000000001
1968.05,May.,m$n,1000000000,1.0000000000000002e-13,775.8
1968.06,Jun.,m$n,1000000000,1.0000000000000002e-13,782.4000000000001
1968.07,Jul.,m$n,1000000000,1.0000000000000002e-13,772.9000000000001
1968.08,Ago.,m$n,1000000000,1.0000000000000002e-13,771.3
1968.09,Set.,m$n,1000000000,1.0000000000000002e-13,784.5
1968.1,Oct.,m$n,1000000000,1.0000000000000002e-13,778.4
1968.11,Nov.,m$n,1000000000,1.0000000000000002e-13,799.4000000000001
1968.12,Dic.,m$n,1000000000,1.0000000000000002e-13,836.5999999999999
1968.13,,,,,
1969.01,Ene.,m$n,1000000000,1.0000000000000002e-13,849.3
1969.02,Feb.,m$n,1000000000,1.0000000000000002e-13,861.9
1969.03,Mar.,m$n,1000000000,1.0000000000000002e-13,853.7
1969.04,Abr.,m$n,1000000000,1.0000000000000002e-13,853.4999999999999
1969.05,May.,m$n,1000000000,1.0000000000000002e-13,852.2
1969.06,Jun.,m$n,1000000000,1.0000000000000002e-13,845
1969.07,Jul.,m$n,1000000000,1.0000000000000002e-13,857.7
1969.08,Ago.,m$n,1000000000,1.0000000000000002e-13,851
1969.09,Set.,m$n,1000000000,1.0000000000000002e-13,830.7
1969.1,Oct.,m$n,1000000000,1.0000000000000002e-13,823.4
1969.11,Nov.,m$n,1000000000,1.0000000000000002e-13,830.2
1969.12,Dic.,m$n,1000000000,1.0000000000000002e-13,836.0999999999999
1969.13,,,,,
1970.01,Ene.,$ Ley,1000000,1.0000000000000001e-11,8410
1970.02,Feb.,$ Ley,1000000,1.0000000000000001e-11,8534
